id;nombre;marca;categoria;cantidad;precio;stock_minimo
1;Inyectores diésel;Bosch;Motor y Encendido;3.0;1100000.0;5.0
2;Bombas de inyección;Bosch;Motor y Encendido;8.0;1400000.0;3.0
3;Toberas de inyección;Bosch;Motor y Encendido;15.0;150000.0;5.0
4;Válvulas reguladoras de presión;Bosch;Motor y Encendido;12.0;100000.0;4.0
5;Sensor de presión del riel de combustible;Bosch;Motor y Encendido;20.0;50000.0;5.0
6;Arandelas de cobre y kit de o-rings para inyectores;Genérico;Motor y Encendido;50.0;35000.0;10.0
7;Turbocompresores;Garrett;Motor y Encendido;6.0;1350000.0;2.0
8;Válvulas EGR;Valeo;Motor y Encendido;10.0;140000.0;3.0
9;Actuadores de turbo;Garrett;Motor y Encendido;14.0;200000.0;4.0
10;Mangueras de intercooler;Genérico;Motor y Encendido;25.0;100000.0;5.0
11;Bujías;NGK;Motor y Encendido;40.0;50000.0;10.0
12;Pastillas de freno;Frasle;Frenos;2.0;40000.0;5.0
13;Amortiguadores;Monroe;Otros;16.0;200000.0;4.0
14;Baterías;Moura;Motor y Encendido;11.0;200000.0;3.0
15;Filtros de combustible diésel;Fram;Filtros;30.0;35000.0;8.0
16;Filtros de aceite;Fram;Filtros;25.0;80000.0;6.0
17;Filtros de aire;Fram;Filtros;35.0;30000.0;8.0
18;Fluido para emisiones diésel;Elaion;Lubricantes;45.0;20000.0;10.0
19;Bujías de precalentamiento;NGK;Motor y Encendido;24.0;130000.0;6.0
20;Motors de arranque;Nosso;Motor y Encendido;7.0;160000.0;2.0
21;Alternadores de servicio pesado;Prestolite;Motor y Encendido;5.0;285000.0;2.0
22;Pistones y pernos;Mahle;Motor y Encendido;16.0;42000.0;4.0
23;Aros de pistón;Mahle;Motor y Encendido;32.0;45000.0;8.0
24;Camisas de cilindro;Mahle;Motor y Encendido;12.0;125000.0;4.0
25;Juntas de tapa de cilindros;Taranto;Motor y Encendido;18.0;38000.0;5.0
26;Válvulas de admisión y escape;Mahle;Motor y Encendido;48.0;25000.0;12.0
27;Bomba de aceite;Duncan;Motor y Encendido;9.0;50000.0;3.0
28;Kits de distribución;SKF;Motor y Encendido;14.0;70000.0;4.0
29;Correas de distribución;Gates;Motor y Encendido;22.0;215000.0;5.0
30;Poleas;SKF;Motor y Encendido;15.0;100000.0;4.0
31;Bombas de agua;Dolz;Motor y Encendido;11.0;180000.0;3.0
32;Termostatos;Vernet;Motor y Encendido;19.0;35000.0;5.0
33;Embragues de ventilador;BorgWarner;Motor y Encendido;6.0;200000.0;2.0
34;Sensores de posición de cigüeñal;Bosch;Motor y Encendido;14.0;40000.0;4.0
35;Sensores de temperatura de gases de escape;Bosch;Motor y Encendido;8.0;90000.0;3.0
36;Sensores de presión de sobrealimentación;Bosch;Motor y Encendido;13.0;20000.0;4.0
